Compound,InChIKey,CAS,Constants,Types,Temperature
1-dodecanol,LQZZUXJYWNFBMV-UHFFFAOYSA-N,112-53-8,"['1.2E-01', '4.4E-01', '1.4E-01', '1.9E-01', '1.8E-01', '2.4E-01', '1.5E+00', '7.8E-02', '9.9E-02', '9.9E-02', '1.5E-01', '3.5E-01', '2.1E-01', '1.6E-01', '1.9E-01', '4.4E-01', '1.9E-01', '1.1E-01']","['L', 'M', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?']","[25.0, 25.0, 9526.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
3-dodecanol,OKDGZLITBCRLLJ-UHFFFAOYSA-N,10203-30-2,"['4.8E-02', '1.5E-01', '1.5E-01']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"2,6,8-trimethyl-4-nonanol",LFEHSRSSAGQWNI-UHFFFAOYSA-N,123-17-1,"['1.0E-01', '1.1E-01', '6.0E-02', '2.6E-02']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
1-tridecanol,XFRVVPUIAFSTFO-UHFFFAOYSA-N,112-70-9,"['1.2E-01', '1.5E-01', '7.6E-02', '1.3E-01', '1.2E-01', '1.8E-01']","['X', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
1-tetradecanol,HLZKNKRTKFSKGZ-UHFFFAOYSA-N,112-72-1,"['6.2E-02', '6.2E-02', '2.2E-01', '9.4E-02', '1.2E-01', '1.5E+00', '6.2E-02', '2.7E-01', '9.7E-02', '6.6E-02', '9.5E-02', '9.5E-02', '3.9E+03']","['V', 'V', 'R', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-tetradecanol,BRGJIIMZXMWMCC-UHFFFAOYSA-N,4706-81-4,['1.7E-01'],['Q'],[25.0]
1-pentadecanol,REIUXOLGHVXAEO-UHFFFAOYSA-N,629-76-5,"['2.2E-01', '2.5E-02', '8.9E-02', '2.7E-02', '2.5E-01', '2.5E-01', '3.0E+03']","['V', 'X', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
1-hexadecanol,BXWNKGSJHAJOGX-UHFFFAOYSA-N,124-29-8,"['2.1E-01', '2.1E-01', '3.5E-01', '6.4E-02', '1.5E+00', '7.4E-02', '3.8E-02', '3.9E-02', '2.1E-01', '2.5E-01', '1.0E-01', '1.0E-01', '5.9E-01']","['V', 'V', 'R', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-hexadecanol,FVDRFBGMOWJEOR-UHFFFAOYSA-N,14852-31-4,"['1.6E-02', '1.1E-02']","['X', 'Q']","[25.0, 25.0]"
1-heptadecanol,GOQYKNQRPGWPLP-UHFFFAOYSA-N,1454-85-9,"['4.5E-02', '7.1E-02', '6.6E-02', '4.6E-02', '4.5E-02', '1.2E+01']","['X', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-heptadecanol,ZNYQHFLBAPNPRC-UHFFFAOYSA-N,16813-18-6,"['8.7E-03', '1.2E-02']","['X', 'Q']","[25.0, 25.0]"
1-octadecanol,GLDOVTGHNKAZLK-UHFFFAOYSA-N,112-92-5,"['1.2E-02', '1.2E-02', '3.8E-01', '1.5E+00', '2.5E-02', '1.7E-01', '3.1E-03', '3.1E-03', '1.2E-02', '9.1E-01']","['V', 'V', 'R', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
1-nonadecanol,XGFDHKJUZCCPKQ-UHFFFAOYSA-N,1454-84-8,['9.9E-02'],['Q'],[25.0]
1-eicosanol,BTFJIXJJCSYFAL-UHFFFAOYSA-N,629-96-9,"['4.7E-01', '5.5E-02', '1.8E-02']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
1-docosanol,NOPFSRXAKWQILS-UHFFFAOYSA-N,661-19-8,['6.2E-03'],['Q'],[25.0]
1-tetracosanol,TYWMIZZBOVGFOV-UHFFFAOYSA-N,506-51-4,['3.4E-03'],['Q'],[25.0]
cyclopentanol,XCIXKGXIYUWCLL-UHFFFAOYSA-N,96-41-3,"['4.2E+00', '2.2E+00', '4.3E+00', '3.8E+00', '2.0E+00', '4.4E+00', '4.3E+00']","['L', 'M', 'T', 'Q', 'Q', 'Q', '?']","[7926.85, 5626.85, 7726.85, 25.0, 25.0, 25.0, 25.0]"
cyclohexanol,HPXRVTGHNJAIIH-UHFFFAOYSA-N,108-93-0,"['4.3E+00', '4.4E+00', '2.5E+00', '4.3E+00', '2.2E+00', '2.7E+00', '4.5E+00', '4.5E+00', '3.5E+00', '1.7E+00', '4.1E+00', '3.9E+00', '3.6E+00', '6.2E+00', '1.1E+00', '4.1E+00', '4.5E-01', '4.5E+00', '6.3E+00', '1.6E+00', '2.0E+00', '2.5E+00', '2.0E+00', '3.3E+00', '2.3E+00', '3.8E+00', '1.3E+00', '4.1E+00', '2.3E+00', '2.7E+00', '3.6E+00', '2.0E+00', '2.0E+00', '3.4E+00', '2.2E+00', '3.9E+00', '4.1E+00']","['L', 'L', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'T', 'X', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?']","[7426.85, 8226.85, 25.0, 7426.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 8226.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
cycloheptanol,QCRFMSUKWRQZEM-UHFFFAOYSA-N,502-41-0,"['4.6E+00', '4.2E+00', '1.0E+00', '3.7E+00', '4.2E+00']","['L', 'T', 'Q', 'Q', '?']","[8726.85, 8726.85, 25.0, 25.0, 25.0]"
4-methylcyclohexanol,MQWCXKGKQLNYQG-UHFFFAOYSA-N,589-91-3,['2.5E+00'],['?'],[25.0]
2-methylcyclohexanol,NDVWOBYBJYUSMF-UHFFFAOYSA-N,583-59-5,"['1.4E+00', '1.3E+00', '5.9E+00', '1.7E+00', '1.6E+00', '1.6E+00', '1.6E+00', '1.3E+00', '3.2E+00', '1.3E+00']","['M', 'M', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
3-methylcyclohexanol,HTSABYAWKQAHBT-UHFFFAOYSA-N,591-23-1,"['2.9E+00', '2.7E+00', '5.9E+00', '1.7E+00', '1.6E+00', '1.6E+00', '1.6E+00', '1.7E+00', '2.7E+00']","['M', 'M', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
MCM:C8BCOH,CEOBYJRLFASWKF-UHFFFAOYSA-N,UNKNOWN,"['8.7E-01', '2.4E+00', '1.5E+00']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
(4-methylcyclohexyl)methanol,OSINZLLLLCUKJH-UHFFFAOYSA-N,34885-03-5,['1.5E+00'],['Q'],[25.0]
borneol,DTGKSKDOIYIVQL-UHFFFAOYSA-N,507-70-0,['4.4E-01'],['?'],[25.0]
fenchol,IAIHUHQCLTYTSF-UHFFFAOYSA-N,1632-73-1,['3.5E-01'],['?'],[25.0]
menthol,NOOLISFMXDJSKH-UHFFFAOYSA-N,1490-04-6,['3.1E-01'],['?'],[25.0]
2-methylisoborneol,LFYXNXGVLGKVCJ-BOBPJJCASA-N,2371-42-8,"['8.9E-02', '1.6E+00']","['M', 'Q']","[9526.85, 25.0]"
geosmin,JLPUXFOGCDVKGO-GRYCIOLGSA-N,19700-21-1,"['8.1E-02', '4.1E+00']","['M', 'Q']","[9526.85, 25.0]"
cyclododecanol,SFVWPXMPRCIVOK-UHFFFAOYSA-N,1724-39-6,"['3.4E+00', '6.8E+00', '4.5E+00', '3.7E-01', '3.4E+00', '8.0E+00', '5.3E-02', '1.6E+00', '2.5E-01', '3.4E+00']","['M', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
cedrol,SVURIXNDRWRAFU-OGMFBOKVSA-N,77-53-2,['6.7E+00'],['Q'],[25.0]
patchoulol,GGHMUJBZYLPWFD-CUZKYEQNSA-N,5986-55-0,['1.3E+01'],['Q'],[25.0]
perhydrobisphenol a,CDBAMNGURPMUTG-UHFFFAOYSA-N,80-04-6,"['9.7E+00', '6.1E+04', '3.4E+04', '1.8E+02']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"3-(5,5,6-trimethyl-2-norbornyl)cyclohexanol",BWVZAZPLUTUBKD-UHFFFAOYSA-N,3407-42-9,"['6.1E-01', '1.6E+01', '1.1E+01', '2.7E-01']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"4-(5,5,6-trimethylbicyclo[2.2.1]hept-2-yl)cyclohexan-1-ol",PCFHYANYPQEMPU-UHFFFAOYSA-N,66068-84-6,"['6.1E-01', '1.8E+01', '4.4E+01', '2.7E-01']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"4-((1R,2R,4R)-born-2-yl)cyclohexanol",LFHQKYSBKVWWOS-UHFFFAOYSA-N,66072-32-0,"['6.1E-01', '9.9E+00', '4.3E+01', '1.6E-01']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
ethenol,IMROMDMJAWUWLK-UHFFFAOYSA-N,557-75-5,"['8.5E-01', '2.0E+00', '1.7E+00']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
2-propen-1-ol,XXROGKLTLUQVRX-UHFFFAOYSA-N,107-18-6,"['2.0E+00', '1.6E+00', '4.3E+00', '2.0E+00', '1.5E+00', '9.0E-01', '4.0E+00', '6.9E-01', '5.9E+00', '2.1E+00', '2.0E+00', '4.9E+00', '3.9E+00', '1.6E+00', '2.8E+00', '3.7E+00', '2.0E+00', '3.8E+00', '5.1E+00', '4.4E+00', '3.5E+00', '4.4E+00', '3.4E+00', '2.0E+00', '1.6E+00', '1.8E+00', '2.0E+00']","['V', 'X', 'X', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[25.0, 25.0, 6926.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-propyn-1-ol,TVDSBUOJIPERQY-UHFFFAOYSA-N,107-19-7,"['3.8E+00', '8.6E+00', '9.0E+00', '7.0E+00', '5.4E+00', '7.0E+00']","['M', 'V', 'V', 'Q', 'Q', 'Q']","[7126.85, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-buten-1-ol,WCASXYBKJHWFMY-UHFFFAOYSA-N,6117-91-5,"['3.1E+00', '3.9E+00', '1.2E+00', '2.7E+00', '3.0E+00']","['Q', 'Q', 'Q', 'Q', 'E']","[25.0, 25.0, 25.0, 25.0, 25.0]"
3-buten-1-ol,ZSPTYLOMNJNZNG-UHFFFAOYSA-N,627-27-0,[],[],[]
4-penten-1-ol,LQAVWYMTUMSFBE-UHFFFAOYSA-N,821-09-0,[],[],[]
3-pentyn-1-ol,IDYNOORNKYEHHO-UHFFFAOYSA-N,10229-10-4,[],[],[]
2-methyl-3-buten-2-ol,HNVRRHSXBLFLIG-UHFFFAOYSA-N,115-18-4,"['6.4E-01', '4.7E-01', '1.6E+00', '7.9E-01', '3.6E-01', '1.2E+00', '7.3E-01', '2.5E+00', '6.2E-01', '9.9E-01', '6.0E-01', '1.6E+00', '4.7E-01']","['M', 'M', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-methyl-3-butyn-2-ol,CEBKHWWANWSNTI-UHFFFAOYSA-N,115-19-5,"['2.5E+00', '1.6E+00', '1.5E+00', '1.0E+00', '8.3E+00', '2.5E+00']","['M', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
3-methyl-1-pentyn-3-ol,QXLPXWSKPNOQLE-UHFFFAOYSA-N,77-75-8,"['9.9E-01', '7.0E+00', '4.3E+00']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
2-cyclohexen-1-ol,PQANGXXSEABURG-UHFFFAOYSA-N,822-67-3,[],[],[]
bicyclo[2.2.1]heptan-2-ol,ZQTYQMYDIHMKQB-UHFFFAOYSA-N,1632-68-4,['2.2E+00'],['V'],[4726.85]
2-octen-1-ol,AYQPVPFZWIQERS-UHFFFAOYSA-N,22104-78-5,['7.7E-01'],['Q'],[25.0]
1-octen-3-ol,VSMOENVRRABVKN-UHFFFAOYSA-N,3391-86-4,"['1.9E-01', '2.5E-01', '1.3E-01']","['M', 'M', 'M']","[7626.85, 25.0, 25.0]"
"3,7-dimethyl-6-octen-1-ol",QMVPMAAFGQKVCJ-UHFFFAOYSA-N,106-22-9,"['5.2E+00', '4.9E-01']","['V', 'Q']","[25.0, 25.0]"
"3,7-dimethyl-1,6-octadien-3-ol",CDOSHBSSFJOMGT-UHFFFAOYSA-N,78-70-6,"['2.0E-01', '3.8E-01', '4.6E-01', '4.0E-01', '4.8E-01', '4.8E-01', '2.1E-01', '1.6E+00', '1.3E-01', '3.3E-01', '2.5E-01', '2.5E+00', '6.2E-01', '2.5E-01', '6.9E-01', '1.4E+00', '1.5E-02', '4.6E-01']","['M', 'M', 'M', 'V', 'V', 'V', 'V', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[4126.85, 25.0, 25.0, 25.0, 25.0, 25.0, 13726.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
linalool oxide,BXOURKNXQXLKRK-UHFFFAOYSA-N,1365-19-1,['3.0E+02'],['Q'],[25.0]
"($E$)-3,7-dimethyl-2,6-octadien-1-ol",GLZPCOQZEFWAFX-JXMROGBWSA-N,106-24-1,"['3.1E+00', '1.6E+00', '1.7E-01']","['V', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"($Z$)-3,7-dimethyl-2,6-octadien-1-ol",GLZPCOQZEFWAFX-YFHOEESVSA-N,106-25-2,"['8.6E-01', '2.1E-01']","['V', 'Q']","[25.0, 25.0]"
"tricyclo[3.3.1.1(3,7)]decan-1-ol",VLLNJDMHDJRNFK-UHFFFAOYSA-N,768-95-6,['6.0E+00'],['V'],[5026.85]
"3,7,11-trimethyl-2,6,10-dodecatrien-1-ol",CRDAMVZIKSXKFV-YFVJMOTDSA-N,4602-84-0,['3.9E-02'],['Q'],[25.0]
($Z$)-9-octadecen-1-ol,ALSTYHKOOCGGFT-KTKRTIGZSA-N,143-28-2,['2.1E-02'],['Q'],[25.0]
"(3$E$,13$Z$)-octadeca-3,13-dien-1-ol",QBNCGBJHGBGHLS-IYUNJCAYSA-N,66410-28-4,['2.4E-01'],['?'],[25.0]
dihydroabietyl alcohol,FLMIYUXOBAUKJM-UHFFFAOYSA-N,26266-77-3,"['1.9E-01', '2.4E+01', '2.6E+01', '2.0E-01']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
ethylestrenol,AOXRBFRFYPMWLR-UHFFFAOYSA-N,965-90-2,['4.3E-01'],['Q'],[25.0]
{\it trans}-phytol,BOTWFXYSPFMFNR-PYDDKJGSSA-N,150-86-7,['1.0E-02'],['?'],[25.0]
hydroxybenzene,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,108-95-2,"['1.8E+01', '2.2E+01', '2.2E+01', '2.8E+01', '6.4E+00', '3.0E+01', '1.9E+01', '4.2E+00', '8.1E+01', '4.2E+00', '1.6E+01', '1.5E+01', '1.7E+01', '7.6E+00', '2.0E+01', '2.5E+01', '1.9E+01', '1.9E+01', '3.4E+00', '1.1E+01', '9.0E+01', '4.8E+00', '2.8E+01', '1.3E+01', '1.9E+00', '1.9E+01', '2.5E+01', '3.0E+01', '3.7E+01', '2.5E+01', '7.6E+00', '7.6E+00', '2.1E+01', '7.6E+00', '1.8E+01', '6.4E+01', '4.2E+01', '6.3E+01', '1.1E+01', '3.6E+01', '2.5E+01', '9.9E+00', '7.8E+00', '1.6E+01', '4.4E+00', '1.8E+01', '3.0E+01', '2.9E+01', '6.9E+00', '2.0E+01', '2.0E+01', '9.9E+00', '3.0E+01', '1.3E+01', '1.6E+01']","['L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'R', 'T', 'X', 'X', 'X', 'X', 'X', 'X', 'C', 'C', 'C', 'C', 'C', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?']","[2726.85, 8626.85, 9526.85, 2426.85, 7426.85, 5626.85, 25.0, 25.0, 7126.85, 25.0, 5726.85, 25.0, 5826.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 6526.85, 25.0, 3326.85, 7026.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
(hydroxymethyl)-benzene,WVDDGKGOMKODPV-UHFFFAOYSA-N,100-51-6,"['1.7E+01', '3.7E+01', '2.5E+01', '6.2E-02', '6.2E-02', '2.9E+01', '3.8E+01', '3.8E+01', '2.5E+01', '1.6E+01', '2.3E+01', '2.3E+01', '3.8E+01', '4.9E+01', '3.8E+01', '8.6E+01', '9.9E+01', '3.9E+01', '4.9E+01', '4.1E+01', '2.2E+01', '5.5E+01', '1.1E+01', '2.1E+01', '6.9E+01', '8.9E+01', '2.9E+01', '2.9E+01', '3.8E+01', '1.8E+01']","['M', 'M', 'V', 'V', 'V', 'R', 'X', 'X', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'E', '?', '?', '?', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
1-hydroxy-2-methylbenzene,QWVGKYWNOKOFNN-UHFFFAOYSA-N,95-48-7,"['6.7E+00', '6.5E+00', '4.2E+00', '1.1E+01', '6.3E+00', '5.6E+00', '7.1E+00', '8.2E+00', '5.8E+00', '6.2E+00', '6.4E+00', '3.5E+01', '8.8E+00', '2.6E+00', '6.2E+00', '8.2E+00', '8.3E+00', '8.4E+00', '5.9E+00', '2.3E+01', '3.9E+01', '1.2E+01', '1.1E+01', '8.0E+00', '1.2E+01', '5.3E+00', '6.2E+00', '8.8E+00', '9.9E+00', '9.5E+00', '4.6E+00', '1.5E+01', '7.2E+00', '8.2E+00', '5.8E+00', '1.2E+01', '8.0E+00']","['L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'X', 'X', 'X', 'X', 'C', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[7126.85, 25.0, 8226.85, 6426.85, 25.0, 5526.85, 25.0, 7026.85, 25.0, 25.0, 25.0, 25.0, 25.0, 4326.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
1-hydroxy-3-methylbenzene,RLSSMJSEOOYNOY-UHFFFAOYSA-N,108-39-4,"['1.2E+01', '7.9E+00', '1.2E+01', '1.2E+01', '1.3E+01', '1.2E+01', '1.1E+01', '1.1E+01', '1.1E+01', '4.9E+01', '2.2E+01', '6.1E+00', '1.1E+01', '1.8E+01', '5.9E+00', '2.3E+01', '1.2E+01', '3.9E+00', '1.1E+01', '1.2E+01', '1.0E+01', '1.7E+01', '1.6E+01', '1.2E+01', '1.4E+01', '1.4E+01', '4.3E+00']","['L', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'V', 'X', 'X', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[5926.85, 8726.85, 25.0, 5726.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 7426.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
1-hydroxy-4-methylbenzene,IWDCLRJOBJJRNH-UHFFFAOYSA-N,106-44-5,"['1.3E+01', '1.0E+01', '2.9E+00', '1.3E+01', '1.3E+01', '1.3E+01', '1.8E+01', '1.0E+01', '1.5E+01', '4.5E+01', '1.2E+00', '2.2E+01', '5.2E+00', '1.0E+01', '9.9E+00', '1.3E+01', '1.6E+01', '5.9E+00', '2.3E+01', '1.8E+01', '4.2E+00', '1.7E+01', '8.8E+00', '1.5E+01', '1.7E+01', '1.5E+01', '1.4E+01', '7.0E+00', '9.9E+00', '1.3E+01', '2.5E+01', '1.3E+01']","['L', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'X', 'X', 'X', 'X', 'C', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[6326.85, 9026.85, 25.0, 5826.85, 25.0, 6926.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 4326.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
"1-hydroxy-2,3-dimethylbenzene",QWBBPBRQALCEIZ-UHFFFAOYSA-N,526-75-0,"['6.7E+00', '9.3E+00', '1.0E+01', '3.2E+00', '1.8E+01', '1.9E+01', '4.9E+01', '1.3E+01', '7.9E+00', '1.2E+01', '2.2E+01', '1.4E+01', '9.6E+00', '6.2E+00', '7.8E+00', '1.6E+01', '5.8E+00', '5.2E+00', '1.4E+01', '1.2E+01', '4.6E+01', '1.3E+01']","['L', 'M', 'M', 'V', 'V', 'V', 'V', 'R', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[5826.85, 25.0, 6526.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
"1-hydroxy-2,4-dimethylbenzene",KUFFULVDNCHOFZ-UHFFFAOYSA-N,105-67-9,"['3.5E+00', '6.6E+00', '4.9E+00', '1.9E-03', '5.5E+00', '1.6E+01', '5.5E+00', '5.5E-01', '4.9E+00', '1.6E+01', '1.0E+01', '4.7E+00', '4.1E+00', '1.6E+01', '5.8E-01', '5.4E-01', '1.7E+01', '6.7E+00', '7.9E+00', '1.2E+01', '2.2E+01', '1.2E+01', '8.7E+00', '4.6E+00', '6.2E+00', '6.2E+00', '1.6E+01', '5.1E+00', '4.3E+00', '1.1E+01', '1.6E+01', '6.7E+00', '4.6E+01', '1.4E+01', '1.0E+01']","['L', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'V', 'R', 'X', 'X', 'X', 'C', 'C', 'C', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[5226.85, 25.0, 5826.85, -3473.15, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 6326.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
"1-hydroxy-2,5-dimethylbenzene",NKTOLZVEWDHZMU-UHFFFAOYSA-N,95-87-4,"['8.2E+00', '7.5E+00', '1.4E+00', '7.5E+00', '7.4E+00', '3.8E+01', '8.8E+00', '1.9E+00', '5.7E+00', '7.9E+00', '1.2E+01', '2.2E+01', '1.2E+01', '8.9E+00', '6.2E+00', '6.2E+00', '1.6E+01', '5.2E+00', '4.8E+00', '3.1E+00', '1.4E+01', '4.6E+01', '8.8E+00']","['L', 'M', 'V', 'V', 'V', 'V', 'R', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[8426.85, 6526.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
"1-hydroxy-2,6-dimethylbenzene",NXXYKOUNUYWIHA-UHFFFAOYSA-N,576-26-1,"['1.6E+00', '2.3E+00', '1.3E+00', '2.5E+00', '2.6E+00', '2.6E+00', '5.2E+00', '2.9E+00', '1.4E+00', '1.6E+00', '7.9E+00', '3.0E+00', '6.2E+00', '3.9E+00', '1.6E+01', '9.2E+00', '1.8E+00', '3.1E+00', '1.2E-02', '4.6E+01', '1.5E+00', '1.4E+00']","['L', 'M', 'M', 'V', 'V', 'V', 'V', 'R', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?']","[6026.85, 5926.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
