Compound,InChIKey,Constants,Types,Temperature
"3,3-dimethyl-1-butanol",DUXCSEISVMREAX-UHFFFAOYSA-N,"['1.0E-01', '5.6E-01', '1.6E+00', '2.4E-01']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"3,3-dimethyl-2-butanol",DFOXKPDFWGNLJU-UHFFFAOYSA-N,"['1.2E-01', '5.3E-01', '2.0E-01', '5.6E-01', '4.0E-01', '4.9E-01']","['Q', 'Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
"2,2-bis(hydroxymethyl)-1-butanol",ZJCCRDAZUWHFQH-UHFFFAOYSA-N,"['1.2E+06', '8.8E+05']","['V', 'Q']","[25.0, 25.0]"
1-heptanol,BBMCTIGTTCKYKF-UHFFFAOYSA-N,"['5.3E-01', '5.4E-01', '3.8E-01', '3.6E-01', '8.6E-01', '1.8E-01', '6.2E-01', '6.2E-01', '6.2E-01', '4.6E+00', '4.9E-01', '5.3E-01', '5.2E-01', '5.2E-01', '4.6E-01', '2.8E-01', '1.4E+00', '3.9E-01', '2.5E-01', '3.9E-01', '3.0E-01', '7.3E-01', '1.9E-01', '2.9E-01', '5.0E-01', '1.3E+00', '5.2E-01', '1.8E-01', '3.9E-01', '5.0E-01', '3.8E-01', '5.2E-01', '5.2E-01', '8.5E-01', '5.0E-01']","['L', 'L', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?', '?']","[7926.85, 8326.85, 6926.85, 6026.85, 25.0, 25.0, 25.0, 25.0, 25.0, 5026.85, 8426.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-heptanol,CETWDUZRCINIHU-UHFFFAOYSA-N,"['3.3E-01', '4.1E-01', '1.8E-01', '1.2E-01', '1.2E-01', '5.8E-01', '5.5E-01', '3.9E-01', '2.0E-01', '3.9E-01', '1.2E-01', '2.0E-01', '2.5E-01', '2.6E-01', '1.2E-01', '1.7E-01']","['L', 'L', 'V', 'X', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[8426.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
3-heptanol,RZKSECIXORKHQS-UHFFFAOYSA-N,"['3.2E-01', '3.1E-01', '3.5E-01', '5.5E-01', '1.3E-01', '4.1E-01', '2.2E-01', '1.9E-01', '3.9E-01', '2.5E-01', '3.9E-01', '4.0E-01', '3.7E-01', '5.3E-01', '2.1E-01']","['L', 'L', 'V', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q']","[8826.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
4-heptanol,YVBCULSIZWMTFY-UHFFFAOYSA-N,"['3.4E-01', '3.5E-01', '1.8E-01', '2.2E-01']","['L', 'T', 'Q', 'Q']","[8826.85, 8826.85, 25.0, 25.0]"
2-methyl-1-hexanol,LCFKURIJYIJNRU-UHFFFAOYSA-N,"['6.9E-01', '1.7E-01']","['M', 'Q']","[10726.85, 25.0]"
3-methyl-1-hexanol,YGZVAQICDGBHMD-UHFFFAOYSA-N,['1.3E-01'],['Q'],[25.0]
4-methyl-1-hexanol,YNPVNLWKVZZBTM-UHFFFAOYSA-N,['1.3E-01'],['Q'],[25.0]
5-methyl-1-hexanol,ZVHAANQOQZVVFD-UHFFFAOYSA-N,['2.8E-01'],['Q'],[25.0]
2-methyl-2-hexanol,KRIMXCDMVRMCTC-UHFFFAOYSA-N,"['9.1E-02', '4.0E-01', '3.8E-01', '6.7E-01', '6.4E-01']","['Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0]"
3-methyl-2-hexanol,IRLSKJITMWPWNY-UHFFFAOYSA-N,"['1.5E-01', '1.7E-01', '1.2E-01', '4.9E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
4-methyl-2-hexanol,KZUBXUKRWLMPIO-UHFFFAOYSA-N,"['1.6E-01', '5.1E-01', '4.7E-01', '5.0E-01']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
5-methyl-2-hexanol,ZDVJGWXFXGJSIU-UHFFFAOYSA-N,"['1.6E-01', '4.3E-01', '5.9E-01', '2.4E-01', '4.2E-01']","['Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0]"
2-methyl-3-hexanol,RGRUUTLDBCWYBL-UHFFFAOYSA-N,['5.8E-01'],['Q'],[25.0]
3-methyl-3-hexanol,KYWJZCSJMOILIZ-UHFFFAOYSA-N,"['9.1E-02', '4.7E-01', '2.6E-01', '9.2E-01', '7.7E-01']","['Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0]"
4-methyl-3-hexanol,NZPGYIBESMMUFU-UHFFFAOYSA-N,"['1.1E-01', '1.0E-01', '1.3E-01', '5.2E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
5-methyl-3-hexanol,RGCZULIFYUPTAR-UHFFFAOYSA-N,"['1.6E-01', '1.5E-01', '1.2E-01', '5.4E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
2-ethyl-1-pentanol,UKFQWAVMIMCNEH-UHFFFAOYSA-N,"['1.0E-01', '1.1E-01', '1.1E-01', '3.4E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
3-ethyl-1-pentanol,DVEFUHVVWJONKR-UHFFFAOYSA-N,"['9.1E-02', '1.7E-01', '1.2E-01', '3.4E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
3-ethyl-2-pentanol,NEHRITNOSGFGGS-UHFFFAOYSA-N,"['1.1E-01', '1.7E-01', '1.2E-01', '4.9E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
3-ethyl-3-pentanol,XKIRHOWVQWCYBT-UHFFFAOYSA-N,"['3.0E-01', '1.2E+00', '1.1E+00']","['L', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"2,2-dimethyl-1-pentanol",QTOMCRXZFDHJOL-UHFFFAOYSA-N,"['9.6E-02', '5.4E-02', '1.1E-01', '3.3E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"2,3-dimethyl-1-pentanol",MIBBFRQOCRYDDB-UHFFFAOYSA-N,['3.6E-01'],['Q'],[25.0]
"2,4-dimethyl-1-pentanol",OVOVDHYEOQJKMD-UHFFFAOYSA-N,"['9.4E-02', '9.5E-02', '1.0E-01', '3.3E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"3,3-dimethyl-1-pentanol",IFDHMBHPLKHMOY-UHFFFAOYSA-N,['3.5E-01'],['Q'],[25.0]
"3,4-dimethyl-1-pentanol",SVJNECJVNWTYQG-UHFFFAOYSA-N,"['1.6E-01', '1.6E-01', '1.1E-01', '3.5E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"4,4-dimethyl-1-pentanol",OWCNPTHAWPMOJU-UHFFFAOYSA-N,"['8.5E-02', '1.4E-01', '1.1E-01', '3.8E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"2,3-dimethyl-2-pentanol",YRSIFCHKXFKNME-UHFFFAOYSA-N,"['9.2E-01', '8.6E-01']","['Q', 'Q']","[25.0, 25.0]"
"2,4-dimethyl-2-pentanol",FMLSQAUAAGVTJO-UHFFFAOYSA-N,"['4.0E-01', '5.7E-01']","['Q', 'Q']","[25.0, 25.0]"
"3,3-dimethyl-2-pentanol",FCUOIGTWJDBTHR-UHFFFAOYSA-N,"['9.0E-02', '1.0E-01', '1.2E-01', '5.5E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"3,4-dimethyl-2-pentanol",SODKTKJZYBOMMT-UHFFFAOYSA-N,"['1.8E-01', '4.7E-01']","['Q', 'Q']","[25.0, 25.0]"
"4,4-dimethyl-2-pentanol",OIBKGNPMOMMSSI-UHFFFAOYSA-N,['6.8E-01'],['Q'],[25.0]
"2,2-dimethyl-3-pentanol",HMSVXZJWPVIVIV-UHFFFAOYSA-N,"['4.0E-01', '4.0E-01']","['Q', 'Q']","[25.0, 25.0]"
"2,3-dimethyl-3-pentanol",RFZHJHSNHYIRNE-UHFFFAOYSA-N,"['9.2E-01', '9.2E-01']","['Q', 'Q']","[25.0, 25.0]"
"2,4-dimethyl-3-pentanol",BAYAKMPRFGNNFW-UHFFFAOYSA-N,"['4.0E-01', '3.8E-01']","['Q', 'Q']","[25.0, 25.0]"
2-ethyl-2-methyl-1-butanol,KMWHQWJVSALJAW-UHFFFAOYSA-N,['4.3E-01'],['Q'],[25.0]
2-ethyl-3-methyl-1-butanol,OXFFPTMSBXBVLZ-UHFFFAOYSA-N,['3.8E-01'],['Q'],[25.0]
"2,2,3-trimethyl-1-butanol",FAMOAJMEFGYSNY-UHFFFAOYSA-N,"['8.3E-02', '6.2E-02', '1.0E-01', '4.3E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"2,3,3-trimethyl-1-butanol",IWWVOLGZHKFWKK-UHFFFAOYSA-N,"['7.9E-02', '1.0E-01', '1.0E-01', '4.0E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"2,3,3-trimethyl-2-butanol",OKXVARYIKDXAEO-UHFFFAOYSA-N,['2.7E-01'],['Q'],[25.0]
1-octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,"['3.4E-01', '4.1E-01', '1.7E-01', '2.1E-01', '1.9E-01', '6.5E-01', '2.7E-01', '4.0E-01', '3.8E-01', '2.4E-01', '4.1E-01', '4.1E-01', '3.9E-01', '3.6E-01', '3.8E-01', '1.4E+00', '3.3E-01', '4.1E-01', '2.5E-01', '2.0E-01', '3.1E-01', '2.5E-01', '5.6E-01', '3.2E-01', '2.6E-01', '4.0E-01', '1.2E+00', '3.9E-01', '3.0E-01', '3.9E-01', '4.0E-01', '3.9E-01', '6.2E-01', '4.0E-01']","['L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[8726.85, 8626.85, 6726.85, 6626.85, 5726.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-octanol,SJWFXCIHNDVPSH-UHFFFAOYSA-N,"['2.7E-01', '3.5E-01', '2.7E-01', '2.7E-01', '9.6E-01', '4.2E-01', '3.8E-01', '5.6E-01', '2.5E-01', '1.6E-01', '3.1E-01', '1.7E-01', '2.0E-01', '3.0E-01', '3.2E-01', '8.0E-02', '9.6E-01']","['L', 'L', 'V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?']","[9326.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
3-octanol,NMRPBPVERJPACX-UHFFFAOYSA-N,"['3.2E-01', '1.2E-01', '1.3E-01', '1.1E-01', '3.2E-01', '2.3E-01', '1.2E-01', '7.9E-02', '3.1E-01']","['L', 'M', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 8026.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
4-octanol,WOFPPJOZXUTRAU-UHFFFAOYSA-N,"['1.3E-01', '2.9E-01']","['Q', 'Q']","[25.0, 25.0]"
2-methyl-1-heptanol,QZESEQBMSFFHRY-UHFFFAOYSA-N,"['9.1E-02', '5.7E-02', '7.4E-02', '3.4E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
3-methyl-1-heptanol,MUPPEBVXFKNMCI-UHFFFAOYSA-N,"['8.9E-02', '7.5E-02', '2.1E-01']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
4-methyl-1-heptanol,LLUQZGDMUIMPTC-UHFFFAOYSA-N,"['9.3E-02', '7.5E-02', '2.3E-01']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
5-methyl-1-heptanol,KFARNLMRENFOHE-UHFFFAOYSA-N,"['1.1E-01', '2.1E-01']","['Q', 'Q']","[25.0, 25.0]"
6-methyl-1-heptanol,BWDBEAQIHAEVLV-UHFFFAOYSA-N,"['1.1E-01', '1.1E-01', '5.6E-01', '2.0E-01']","['V', 'V', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
2-methyl-2-heptanol,ACBMYYVZWKYLIP-UHFFFAOYSA-N,['5.1E-01'],['Q'],[25.0]
3-methyl-2-heptanol,SZERMVMTUUAYML-UHFFFAOYSA-N,"['7.8E-02', '9.5E-02', '7.9E-02', '3.9E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
4-methyl-2-heptanol,GUHWHNUGIGOSCN-UHFFFAOYSA-N,"['1.6E-01', '3.4E-01']","['Q', 'Q']","[25.0, 25.0]"
5-methyl-2-heptanol,FYMBAYNKBWGEIK-UHFFFAOYSA-N,"['1.0E-01', '1.7E-01', '7.7E-02', '3.3E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
6-methyl-2-heptanol,FCOUHTHQYOMLJT-UHFFFAOYSA-N,"['1.6E-01', '3.3E-01']","['Q', 'Q']","[25.0, 25.0]"
2-methyl-3-heptanol,QGVFLDUEHSIZIG-UHFFFAOYSA-N,['3.8E-01'],['Q'],[25.0]
3-methyl-3-heptanol,PQOSNJHBSNZITJ-UHFFFAOYSA-N,['2.9E-01'],['Q'],[25.0]
4-methyl-3-heptanol,BKQICAFAUMRYLZ-UHFFFAOYSA-N,"['7.4E-02', '4.7E-02', '8.2E-02', '5.3E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
5-methyl-3-heptanol,SECKOSOTZOBWEI-UHFFFAOYSA-N,"['8.7E-02', '6.6E-02', '7.9E-02', '5.6E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
6-methyl-3-heptanol,MNBIBGDICHMQFN-UHFFFAOYSA-N,"['8.8E-02', '7.9E-02', '7.9E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
2-methyl-4-heptanol,QXPLZEKPCGUWEM-UHFFFAOYSA-N,['3.9E-01'],['Q'],[25.0]
3-methyl-4-heptanol,JMRDKKYZLXDPLN-UHFFFAOYSA-N,"['8.2E-02', '6.2E-02', '8.2E-02', '4.1E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
4-methyl-4-heptanol,IQXKGRKRIRMQCQ-UHFFFAOYSA-N,['4.5E-01'],['Q'],[25.0]
2-ethyl-1-hexanol,YIWUKEYIRIRTPP-UHFFFAOYSA-N,"['4.6E-01', '1.5E-01', '3.7E-01', '3.8E-01', '5.6E-01', '7.0E-02', '2.5E-01', '3.1E-01', '3.1E-01', '3.1E-01', '4.0E-01', '1.1E-01', '4.3E-01', '4.2E-02']","['L', 'M', 'V', 'V', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 6926.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
3-ethyl-1-hexanol,LWWJDXKGQVEZKT-UHFFFAOYSA-N,"['7.0E-02', '9.5E-02', '7.5E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
4-ethyl-1-hexanol,RLGDVTUGYZAYIX-UHFFFAOYSA-N,"['7.0E-02', '9.5E-02', '7.5E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"2,2-dimethyl-1-hexanol",GSSDZVRLQDXOPL-UHFFFAOYSA-N,['4.9E-01'],['Q'],[25.0]
"2,3-dimethyl-1-hexanol",HIYTVAULOHUDEC-UHFFFAOYSA-N,"['7.0E-02', '5.5E-02', '6.8E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"2,4-dimethyl-1-hexanol",GDRBQWCGBCJTLB-UHFFFAOYSA-N,"['6.9E-02', '5.7E-02', '6.8E-02', '4.6E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"2,5-dimethyl-1-hexanol",OBOHUKJIPIBYTA-UHFFFAOYSA-N,"['6.5E-02', '6.4E-02', '6.8E-02', '4.1E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"3,3-dimethyl-1-hexanol",RAKYQWCHMSXUEG-UHFFFAOYSA-N,"['5.7E-02', '1.0E-01', '7.2E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"3,4-dimethyl-1-hexanol",QVFKMROLPSPCIX-UHFFFAOYSA-N,"['6.3E-02', '9.9E-02', '7.0E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"3,5-dimethyl-1-hexanol",WETBJXIDTZXCBL-UHFFFAOYSA-N,"['6.1E-02', '1.1E-01', '7.0E-02', '3.6E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"4,4-dimethyl-1-hexanol",VZWIUKUDEGQHIO-UHFFFAOYSA-N,"['5.6E-02', '1.0E-01', '7.2E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"4,5-dimethyl-1-hexanol",QABJATQYUASJEM-UHFFFAOYSA-N,"['6.2E-02', '1.0E-01', '7.0E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"5,5-dimethyl-1-hexanol",QYFVEEMPFRRFNN-UHFFFAOYSA-N,"['5.6E-02', '1.0E-01', '7.2E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
3-ethyl-2-hexanol,YBQZSEZVMFENOM-UHFFFAOYSA-N,"['7.7E-02', '1.0E-01', '7.9E-02', '5.6E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
4-ethyl-2-hexanol,ALAPJJMGVQNJIU-UHFFFAOYSA-N,"['7.7E-02', '1.5E-01', '7.7E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"2,3-dimethyl-2-hexanol",BFKOEFFCVFMWPF-UHFFFAOYSA-N,['7.0E-01'],['Q'],[25.0]
"2,4-dimethyl-2-hexanol",RTRZHEPXWQXCCI-UHFFFAOYSA-N,['8.9E-01'],['Q'],[25.0]
"2,5-dimethyl-2-hexanol",JPUIYNHIEXIFMV-UHFFFAOYSA-N,['8.5E-01'],['Q'],[25.0]
"3,3-dimethyl-2-hexanol",LTTHCWFPLXSQOD-UHFFFAOYSA-N,"['7.5E-02', '5.5E-02', '7.8E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"3,4-dimethyl-2-hexanol",LBJWJHMCZHKLQU-UHFFFAOYSA-N,"['6.8E-02', '1.1E-01', '7.7E-02', '5.2E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"3,5-dimethyl-2-hexanol",VGGMROOHXNLMTP-UHFFFAOYSA-N,"['8.1E-02', '8.1E-02', '7.7E-02', '7.0E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"4,4-dimethyl-2-hexanol",CJGWLHDFPXIKQX-UHFFFAOYSA-N,"['7.2E-02', '1.3E-01', '7.4E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"4,5-dimethyl-2-hexanol",KHSOOQUMPPYGAW-UHFFFAOYSA-N,"['7.9E-02', '1.3E-01', '7.5E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"5,5-dimethyl-2-hexanol",NMSUCVXVCHZTEH-UHFFFAOYSA-N,"['6.7E-02', '1.4E-01', '7.4E-02', '6.0E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
3-ethyl-3-hexanol,WNDLTOTUHMHNOC-UHFFFAOYSA-N,['7.2E-01'],['Q'],[25.0]
4-ethyl-3-hexanol,BOJLCKCCKQMGKD-UHFFFAOYSA-N,"['1.3E-01', '8.2E-02', '6.3E-01']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"2,2-dimethyl-3-hexanol",PFHLGQKVKALLMD-UHFFFAOYSA-N,"['6.2E-02', '3.4E-02', '8.1E-02', '7.8E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"2,3-dimethyl-3-hexanol",CGWJMIUMPDDHQC-UHFFFAOYSA-N,['7.4E-01'],['Q'],[25.0]
"2,4-dimethyl-3-hexanol",UCRQJBCLZKHOGX-UHFFFAOYSA-N,"['7.0E-02', '3.7E-02', '8.1E-02', '7.0E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"2,5-dimethyl-3-hexanol",SNKTZHPOKPYBPT-UHFFFAOYSA-N,['7.2E-01'],['Q'],[25.0]
"3,4-dimethyl-3-hexanol",FJXOYCIYKQJAAF-UHFFFAOYSA-N,['8.6E-01'],['Q'],[25.0]
"3,5-dimethyl-3-hexanol",INMGJWCKWKKMPN-UHFFFAOYSA-N,"['8.9E-02', '1.4E-01', '7.4E-02', '8.6E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"4,4-dimethyl-3-hexanol",BARKHVPKOOSMNW-UHFFFAOYSA-N,['7.2E-01'],['Q'],[25.0]
"4,5-dimethyl-3-hexanol",UAVZZCGGBCLHIP-UHFFFAOYSA-N,"['8.7E-02', '4.9E-02', '7.9E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"5,5-dimethyl-3-hexanol",NPZRPUOKIPAIEL-UHFFFAOYSA-N,['8.4E-01'],['Q'],[25.0]
2-propyl-1-pentanol,LASHFHLFDRTERB-UHFFFAOYSA-N,['4.1E-01'],['Q'],[25.0]
2-ethyl-2-methyl-1-pentanol,VZCOFGHOKLEMPL-UHFFFAOYSA-N,['4.3E-01'],['Q'],[25.0]
2-ethyl-3-methyl-1-pentanol,ALPFTHGDLMTYRM-UHFFFAOYSA-N,"['6.7E-02', '6.0E-02', '6.8E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
2-ethyl-4-methyl-1-pentanol,QCHSJPKDWOFACC-UHFFFAOYSA-N,['4.4E-01'],['Q'],[25.0]
3-ethyl-2-methyl-1-pentanol,VWQDMMBTEFDWNM-UHFFFAOYSA-N,"['6.9E-02', '5.7E-02', '6.8E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
3-ethyl-3-methyl-1-pentanol,XYUCPYMMHKJJSS-UHFFFAOYSA-N,"['6.3E-02', '8.4E-02', '7.2E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
3-ethyl-4-methyl-1-pentanol,RWIFVESHBHTZEM-UHFFFAOYSA-N,"['6.9E-02', '8.3E-02', '7.0E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"2,2,3-trimethyl-1-pentanol",GBONVOIRPAJSLA-UHFFFAOYSA-N,['4.7E-01'],['Q'],[25.0]
"2,2,4-trimethyl-1-pentanol",CWPPDTVYIJETDF-UHFFFAOYSA-N,['5.6E-01'],['Q'],[25.0]
"2,3,3-trimethyl-1-pentanol",LFRFDOWJBYDJGD-UHFFFAOYSA-N,"['5.7E-02', '6.0E-02', '6.7E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"2,3,4-trimethyl-1-pentanol",PAZDSSMTPLLLIR-UHFFFAOYSA-N,"['5.5E-02', '7.3E-02', '6.3E-02', '3.6E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"2,4,4-trimethyl-1-pentanol",ZNRVRWHPZZOTIE-UHFFFAOYSA-N,"['5.2E-02', '5.2E-01']","['Q', 'Q']","[25.0, 25.0]"
"3,3,4-trimethyl-1-pentanol",OIPMJJVCOSACDS-UHFFFAOYSA-N,"['6.2E-02', '7.6E-02', '6.9E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"3,4,4-trimethyl-1-pentanol",FQNYRSRCONKFCN-UHFFFAOYSA-N,"['6.2E-02', '7.6E-02', '6.9E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
3-ethyl-2-methyl-2-pentanol,FRUMTAZIGSJVOJ-UHFFFAOYSA-N,['7.4E-01'],['Q'],[25.0]
3-ethyl-4-methyl-2-pentanol,PFRFNYYIOSQSDD-UHFFFAOYSA-N,"['7.6E-02', '9.1E-02', '7.7E-02', '6.3E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"2,3,3-trimethyl-2-pentanol",FBWWGYIEJGQWJP-UHFFFAOYSA-N,"['8.0E-02', '1.2E-01', '6.8E-02', '7.0E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"2,3,4-trimethyl-2-pentanol",FTPXXARYDFWPGE-UHFFFAOYSA-N,"['7.2E-02', '1.7E-01', '6.9E-02', '7.4E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"2,4,4-trimethyl-2-pentanol",BSYJHYLAMMJNRC-UHFFFAOYSA-N,['9.9E-01'],['Q'],[25.0]
"3,3,4-trimethyl-2-pentanol",BOBYQFFCQPQLOB-UHFFFAOYSA-N,"['6.3E-02', '6.5E-02', '7.5E-02', '6.1E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"3,4,4-trimethyl-2-pentanol",MXDGSCZQIMQLII-UHFFFAOYSA-N,['7.4E-01'],['Q'],[25.0]
3-ethyl-2-methyl-3-pentanol,DMHIJUVUPKCGLJ-UHFFFAOYSA-N,"['7.5E-02', '8.1E-02', '7.8E-02', '7.0E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
3-ethyl-3-methyl-2-pentanol,SLBLSROGXMXPPF-UHFFFAOYSA-N,"['7.5E-02', '5.5E-02', '7.8E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"2,2,3-trimethyl-3-pentanol",KLIHWYNSISMOMR-UHFFFAOYSA-N,"['1.2E+00', '1.1E+00']","['Q', 'Q']","[25.0, 25.0]"
"2,2,4-trimethyl-3-pentanol",AXINNNJHLJWMTC-UHFFFAOYSA-N,['8.9E-01'],['Q'],[25.0]
