Compound,InChIKey,Constants,Types,Temperature
hydrogen sulfide,RWSOTUBLDIXVET-UHFFFAOYSA-N,"['1.0E-03', '1.0E-03', '1.0E-03', '1.0E-03', '1.0E-03', '1.0E-03', '1.0E-03', '1.0E-03', '1.0E-03', '1.0E-03', '9.1E-04', '9.2E-04', '8.6E-04', '1.1E-03', '1.2E-03', '9.4E-04', '1.0E-03', '1.0E-03', '1.0E-03', '1.1E-03', '9.6E-04', '1.0E-03', '1.0E-03', '7.0E-04', '1.0E-03', '1.0E-03']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'R', 'R', 'T', 'Q', '?', '?']","[1826.85, 1826.85, 1826.85, 1826.85, 1726.85, 1926.85, 1726.85, 1726.85, 1826.85, 1826.85, 1426.85, 1326.85, 1826.85, 2026.85, 1426.85, 2026.85, 1826.85, 2026.85, 1826.85, 1726.85, 1726.85, 25.0, 2026.85, 25.0, 1726.85, 1826.85]"
deuterium sulfide,RWSOTUBLDIXVET-ZSJDYOACSA-N,['9.9E-04'],['M'],[1826.85]
sulfur dioxide,RAHZWNYVWXNFOC-UHFFFAOYSA-N,"['1.3E-02', '1.3E-02', '1.3E-02', '1.3E-02', '1.2E-02', '1.3E-02', '1.2E-02', '1.2E-02', '1.4E-02', '4.0E-01', '1.2E-02', '1.4E-02', '1.1E-02', '1.2E-02', '1.2E-02', '1.2E-02', '1.2E-02', '1.2E-02', '2.9E-02', '1.3E-02', '1.5E-02', '1.2E-02', '1.2E-02']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'V', 'T', 'T', 'X', 'C', 'C', 'Q', '?', '?', '?', '?']","[2626.85, 2626.85, 2626.85, 2626.85, 2826.85, 2626.85, 2926.85, 2726.85, 2526.85, 25.0, 2826.85, 3126.85, 926.85, 2826.85, 2826.85, 25.0, 2826.85, 3026.85, 25.0, 2626.85, 2826.85, 2826.85, 2826.85]"
sulfur trioxide,AKEJUJNQAAGONA-UHFFFAOYSA-N,['5.1E-08'],['Q'],[25.0]
sulfuric acid,QAOWNCQODCNURD-UHFFFAOYSA-N,"['1.3E+13', '2.9E+07']","['T', 'T']","[19726.85, 9726.85]"
sulfur hexafluoride,SFZCNBIFKDRMGX-UHFFFAOYSA-N,"['2.4E-06', '2.5E-06', '2.4E-06', '2.3E-06', '1.4E-06', '2.4E-06', '2.5E-06', '1.7E-06', '1.7E-06', '2.4E-06', '2.2E-06', '2.2E-06', '2.6E-06', '2.2E-05', '2.6E-05', '2.2E-06', '2.4E-06', '1.9E-06']","['L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'Q', 'Q', 'Q', '?', '?', '?']","[2826.85, 1826.85, 2126.85, 2426.85, 25.0, 25.0, -13.149999999999977, 25.0, 25.0, 2126.85, 3226.85, 25.0, 25.0, 25.0, 25.0, 25.0, 2126.85, 25.0]"
sulfuryl fluoride,OBTWBSRJZRCYQV-UHFFFAOYSA-N,"['8.9E-05', '7.3E-05', '3.2E+00', '6.3E-06']","['M', 'V', 'Q', '?']","[2826.85, 25.0, 25.0, 25.0]"
helium,SWQJXJOGLNCZEY-UHFFFAOYSA-N,"['3.9E-06', '3.8E-06', '3.8E-06', '3.8E-06', '3.7E-06', '3.9E-06', '3.7E-06', '3.8E-06', '3.8E-06', '3.7E-06', '6.3E-06', '3.7E-06', '5.3E-06', '4.5E-06', '3.3E-06', '3.3E-06', '3.9E-06', '3.8E-06', '3.9E-06', '3.7E-06', '3.8E-06']","['L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'T', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[-258.15, -190.14999999999998, -190.14999999999998, -181.14999999999998, 46.85000000000002, -204.14999999999998, -153.14999999999998, 25.0, -63.14999999999998, 106.85000000000002, -973.15, -53.14999999999998, 25.0, 25.0, -269.15, -202.14999999999998, 25.0, -190.14999999999998, 25.0, -73.14999999999998, 25.0]"
neon,GKAOGPIIYCISHV-UHFFFAOYSA-N,"['4.5E-06', '4.4E-06', '4.5E-06', '4.4E-06', '4.5E-06', '4.4E-06', '4.3E-06', '4.5E-06', '4.6E-06', '6.6E-06', '4.5E-06', '8.8E-06', '4.5E-06', '3.4E-06', '4.7E-06', '3.6E-06', '4.5E-06', '4.4E-06', '4.5E-06', '4.4E-06']","['L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'T', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[156.85000000000002, 196.85000000000002, 196.85000000000002, 176.85000000000002, 166.85000000000002, 236.85000000000002, 25.0, 186.85000000000002, -236.14999999999998, -1263.15, 236.85000000000002, 25.0, 25.0, -23.149999999999977, 196.85000000000002, 25.0, 196.85000000000002, 25.0, 276.85, 25.0]"
argon,XKRFYHLGVUSROY-UHFFFAOYSA-N,"['1.4E-05', '1.4E-05', '1.4E-05', '1.4E-05', '1.4E-05', '1.4E-05', '1.4E-05', '1.4E-05', '1.4E-05', '1.4E-05', '1.4E-05', '1.4E-05', '1.4E-05', '1.4E-05', '1.3E-05', '1.4E-05', '1.4E-05', '1.6E-05', '1.5E-05', '1.4E-05', '1.4E-05', '1.8E-05', '9.5E-06', '7.8E-06', '1.1E-05', '1.2E-05', '1.4E-05', '1.2E-05', '1.4E-05', '1.4E-05']","['L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'T', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[1426.85, 1126.85, 1226.85, 1226.85, 1226.85, 1126.85, 1126.85, 25.0, 1226.85, 926.85, 1026.85, 1226.85, 1326.85, 1226.85, 1226.85, 1526.85, 1126.85, 1026.85, 1126.85, 1126.85, 1126.85, 25.0, 25.0, 926.85, 826.85, 25.0, 1226.85, 25.0, 1226.85, 25.0]"
