Compounds,InChI
DEMPHOLOH,"InChI=1S/C11H18O5/c1-4-9-6-7(3)11(13,14)10(5-2,8(9)12)16-15-9/h6,8,12-14H,4-5H2,1-3H3"
DEMPHOLOOH,"InChI=1S/C11H18O6/c1-4-9-6-7(3)11(13,15-14)10(5-2,8(9)12)17-16-9/h6,8,12-14H,4-5H2,1-3H3"
DETLBPR2OH,"InChI=1S/C11H18O4/c1-4-7-6-11(5-2)9(13)10(3,8(7)12)14-15-11/h6,8-9,12-13H,4-5H2,1-3H3"
DETLBPROOH,"InChI=1S/C11H18O5/c1-4-7-6-11(5-2)9(12)10(3,15-16-11)8(7)14-13/h6,8-9,12-13H,4-5H2,1-3H3"
HO3C116OOH,"InChI=1S/C11H24O3/c1-3-5-6-7-11(14-13)9-8-10(12)4-2/h10-13H,3-9H2,1-2H3"
HO3C126OOH,"InChI=1S/C12H26O3/c1-3-5-6-7-8-12(15-14)10-9-11(13)4-2/h11-14H,3-10H2,1-2H3"
BCAOOH,"InChI=1S/C15H26O3/c1-10-5-6-13(16)15(4,18-17)8-7-12-11(10)9-14(12,2)3/h11-13,16-17H,1,5-9H2,2-4H3"
BCBOOH,"InChI=1S/C15H26O3/c1-10-5-6-13(18-17)15(4,16)8-7-12-11(10)9-14(12,2)3/h11-13,16-17H,1,5-9H2,2-4H3"
BCCOOH,"InChI=1S/C15H26O3/c1-11-5-4-8-15(10-16,18-17)13-9-14(2,3)12(13)7-6-11/h5,12-13,16-17H,4,6-10H2,1-3H3/b11-5-"
MCATEC1OOH,"InChI=1S/C7H8O3/c1-5-3-2-4-6(8)7(5)10-9/h2-4,8-9H,1H3"
ECATEC1OOH,"InChI=1S/C8H10O3/c1-2-6-4-3-5-7(9)8(6)11-10/h3-5,9-10H,2H2,1H3"
MXCTEC1OOH,"InChI=1S/C8H10O3/c1-5-3-6(2)8(11-10)7(9)4-5/h3-4,9-10H,1-2H3"
OCATEC1OOH,"InChI=1S/C8H10O3/c1-5-3-4-7(9)8(11-10)6(5)2/h3-4,9-10H,1-2H3"
PCATEC1OOH,"InChI=1S/C8H10O3/c1-5-3-4-6(2)8(11-10)7(5)9/h3-4,9-10H,1-2H3"
STYRENOOH,"InChI=1S/C8H10O3/c9-8(6-11-10)7-4-2-1-3-5-7/h1-5,8-10H,6H2"
IPCATC1OOH,"InChI=1S/C9H12O3/c1-6(2)7-4-3-5-8(10)9(7)12-11/h3-6,10-11H,1-2H3"
MTCTEC1OOH,"InChI=1S/C9H12O3/c1-3-7-4-6(2)5-8(10)9(7)12-11/h4-5,10-11H,3H2,1-2H3"
OTCTEC1OOH,"InChI=1S/C9H12O3/c1-3-7-6(2)4-5-8(10)9(7)12-11/h4-5,10-11H,3H2,1-2H3"
PRCATC1OOH,"InChI=1S/C9H12O3/c1-2-4-7-5-3-6-8(10)9(7)12-11/h3,5-6,10-11H,2,4H2,1H3"
PTCTEC1OOH,"InChI=1S/C9H12O3/c1-3-7-5-4-6(2)8(10)9(7)12-11/h4-5,10-11H,3H2,1-2H3"
T123CT1OOH,"InChI=1S/C9H12O3/c1-5-4-8(10)9(12-11)7(3)6(5)2/h4,10-11H,1-3H3"
T124CT1OOH,"InChI=1S/C9H12O3/c1-5-4-6(2)8(10)9(12-11)7(5)3/h4,10-11H,1-3H3"
HCOCH2OOH,"InChI=1S/C2H4O3/c3-1-2-5-4/h1,4H,2H2"
C3DIALOOH,"InChI=1S/C3H4O4/c4-1-3(2-5)7-6/h1-3,6H"
CHOC2H4OOH,"InChI=1S/C3H6O3/c4-2-1-3-6-5/h2,5H,1,3H2"
C41OOH,"InChI=1S/C4H8O5/c5-1-3(7)4(2-6)9-8/h1,3-4,6-8H,2H2"
HMACROH,"InChI=1S/C4H8O4/c5-1-4(8,2-6)3-7/h1,6-8H,2-3H2"
C3EDIALOH,"InChI=1S/C5H8O3/c1-2-5(8,3-6)4-7/h3-4,8H,2H2,1H3"
C42CHO,"InChI=1S/C5H10O3/c1-4(2-6)5(8)3-7/h3-6,8H,2H2,1H3"
C4M2AL2OH,"InChI=1S/C5H8O4/c1-5(9,3-7)4(8)2-6/h2-4,8-9H,1H3"
C58OH,"InChI=1S/C5H10O4/c1-5(9,3-7)4(8)2-6/h2,4,7-9H,3H2,1H3"
C5DIALOH,"InChI=1S/C5H6O3/c6-3-1-2-5(8)4-7/h1-5,8H"
H13C43CHO,"InChI=1S/C5H10O3/c1-5(8,4-7)2-3-6/h4,6,8H,2-3H2,1H3"
MBOBCO,"InChI=1S/C5H10O3/c1-5(2,8)4(7)3-6/h3-4,7-8H,1-2H3"
C518CHO,"InChI=1S/C6H10O2/c1-5(2)6(3-7)4-8/h3,6,8H,1,4H2,2H3"
C615OH,"InChI=1S/C6H10O3/c1-6(2,4-8)5(9)3-7/h3-5,9H,1-2H3"
C623OH,"InChI=1S/C6H12O4/c1-6(10,4-9)5(2-7)3-8/h2,5,8-10H,3-4H2,1H3"
C67OH,"InChI=1S/C6H12O3/c1-6(2,9)5(8)3-4-7/h4-5,8-9H,3H2,1-2H3"
C68OH,"InChI=1S/C6H12O3/c1-5(8)6(2,9)3-4-7/h4-5,8-9H,3H2,1-2H3"
C6DIALOH,"InChI=1S/C6H10O3/c7-4-1-2-6(9)3-5-8/h4-6,9H,1-3H2"
H3M3C4CHO,"InChI=1S/C6H12O2/c1-3-6(2,8)4-5-7/h5,8H,3-4H2,1-2H3"
HM22C3CHO,"InChI=1S/C6H12O2/c1-6(2,5-8)3-4-7/h4,8H,3,5H2,1-2H3"
HM2C43CHO,"InChI=1S/C6H12O2/c1-5(3-7)6(2)4-8/h3,5-6,8H,4H2,1-2H3"
C622CHO,"InChI=1S/C7H12O2/c1-6(2)7(5-9)3-4-8/h4,7,9H,1,3,5H2,2H3"
C624CHO,"InChI=1S/C7H12O2/c1-6(2)7(5-9)3-4-8/h5,7-8H,1,3-4H2,2H3"
C728OH,"InChI=1S/C7H14O4/c1-7(11,5-10)6(4-9)2-3-8/h3,6,9-11H,2,4-5H2,1H3"
C730OH,"InChI=1S/C7H14O4/c1-7(11,5-10)6(4-9)2-3-8/h4,6,8,10-11H,2-3,5H2,1H3"
H3M3C5CHO,"InChI=1S/C7H14O2/c1-3-7(2,9)5-4-6-8/h6,9H,3-5H2,1-2H3"
C729CHO,"InChI=1S/C8H12O2/c1-7(2)8(3-5-9)4-6-10/h5-6,8H,1,3-4H2,2H3"
C810OH,"InChI=1S/C8H14O3/c1-8(2,11)7(3-5-9)4-6-10/h5-7,11H,3-4H2,1-2H3"
C822OH,"InChI=1S/C8H14O2/c1-7(2)8(3-5-9)4-6-10/h5,8,10H,1,3-4,6H2,2H3"
C824OH,"InChI=1S/C8H14O3/c1-6(2)7(3-4-9)8(11)5-10/h5,7-9,11H,1,3-4H2,2H3"
C826OH,"InChI=1S/C8H14O4/c1-8(12,6-11)7(2-4-9)3-5-10/h4-5,7,11-12H,2-3,6H2,1H3"
C830OH,"InChI=1S/C8H14O2/c1-8(2)5-7(10)6(8)3-4-9/h4,6-7,10H,3,5H2,1-2H3"
C831OH,"InChI=1S/C8H14O3/c1-8(2,4-6-10)7(11)3-5-9/h5-7,11H,3-4H2,1-2H3"
C89OH,"InChI=1S/C8H14O2/c1-8(2)6(3-4-9)5-7(8)10/h4,6-7,10H,3,5H2,1-2H3"
C918CHO,"InChI=1S/C10H16O2/c1-9(2)7-3-4-10(12,6-11)8(9)5-7/h6-8,12H,3-5H2,1-2H3"
C126CO,"InChI=1S/C12H18O2/c1-9(4-6-13)10-8-12(2,3)11(10)5-7-14/h6-7,10-11H,1,4-5,8H2,2-3H3"
C126OH,"InChI=1S/C12H20O2/c1-9(4-6-13)10-8-12(2,3)11(10)5-7-14/h7,10-11,13H,1,4-6,8H2,2-3H3"
C127OH,"InChI=1S/C12H20O3/c1-9(4-6-13)12(15)8-11(2,3)10(12)5-7-14/h7,10,13,15H,1,4-6,8H2,2-3H3"
C126CHO,"InChI=1S/C13H20O2/c1-10(5-4-7-14)11-9-13(2,3)12(11)6-8-15/h7-8,11-12H,1,4-6,9H2,2-3H3"
C1311OH,"InChI=1S/C13H22O3/c1-10(5-4-7-14)13(16)9-12(2,3)11(13)6-8-15/h7,11,15-16H,1,4-6,8-9H2,2-3H3"
C1313OH,"InChI=1S/C13H22O4/c1-12(2)8-11(10(12)4-7-15)13(17,9-16)5-3-6-14/h6-7,10-11,16-17H,3-5,8-9H2,1-2H3"
C136OH,"InChI=1S/C13H22O2/c1-10(5-4-7-14)11-9-13(2,3)12(11)6-8-15/h7,11-12,15H,1,4-6,8-9H2,2-3H3"
HCOCH2CO3H,"InChI=1S/C3H4O4/c4-2-1-3(5)7-6/h2,6H,1H2"
PROPALOOH,"InChI=1S/C3H6O3/c1-3(2-4)6-5/h2-3,5H,1H3"
BUTALAOOH,"InChI=1S/C4H8O3/c1-2-4(3-5)7-6/h3-4,6H,2H2,1H3"
BUTALO2H,"InChI=1S/C4H8O3/c1-4(7-6)2-3-5/h3-4,6H,2H2,1H3"
C3MDIALOOH,"InChI=1S/C4H6O4/c1-4(2-5,3-6)8-7/h2-3,7H,1H3"
IBUTALBO2H,"InChI=1S/C4H8O3/c1-4(2-5)3-7-6/h2,4,6H,3H2,1H3"
IBUTALO2H,"InChI=1S/C4H8O3/c1-4(2,3-5)7-6/h3,6H,1-2H3"
PRPAL2CO3H,"InChI=1S/C4H6O4/c1-3(2-5)4(6)8-7/h2-3,7H,1H3"
C3EDIALOOH,"InChI=1S/C5H8O4/c1-2-5(3-6,4-7)9-8/h3-4,8H,2H2,1H3"
C3M3CHOOOH,"InChI=1S/C5H10O3/c1-5(2,8-7)3-4-6/h4,7H,3H2,1-2H3"
C4CHOAOOH,"InChI=1S/C5H10O3/c1-2-3-5(4-6)8-7/h4-5,7H,2-3H2,1H3"
C4CHOBOOH,"InChI=1S/C5H10O3/c1-2-5(8-7)3-4-6/h4-5,7H,2-3H2,1H3"
C4CODBCO3H,
C514OOH,"InChI=1S/C5H8O4/c6-3-1-5(9-8)2-4-7/h3-5,8H,1-2H2"
C5DIALOOH,"InChI=1S/C5H6O4/c6-3-1-2-5(4-7)9-8/h1-5,8H"
CHOC4OOH,"InChI=1S/C5H10O3/c6-4-2-1-3-5-8-7/h4,7H,1-3,5H2"
CO1M22CO3H,"InChI=1S/C5H8O4/c1-5(2,3-6)4(7)9-8/h3,8H,1-2H3"
IC4CHOAOOH,"InChI=1S/C5H10O3/c1-4(2)5(3-6)8-7/h3-5,7H,1-2H3"
MC3ODBCO3H,
C522CO3H,"InChI=1S/C6H8O4/c1-5(3-2-4-7)6(8)10-9/h4,9H,1-3H2"
C615OOH,"InChI=1S/C6H10O4/c1-6(2,4-8)5(3-7)10-9/h3-5,9H,1-2H3"
C6DIALOOH,"InChI=1S/C6H10O4/c7-4-1-2-6(10-9)3-5-8/h4-6,9H,1-3H2"
CO1C6OOH,"InChI=1S/C6H12O3/c7-5-3-1-2-4-6-9-8/h5,8H,1-4,6H2"
C615CO3H,"InChI=1S/C7H10O5/c1-7(2,4-9)5(3-8)6(10)12-11/h3-5,11H,1-2H3"
C729OOH,"InChI=1S/C7H12O3/c1-6(2)7(3-4-8)5-10-9/h4,7,9H,1,3,5H2,2H3"
C729CO3H,"InChI=1S/C8H12O4/c1-6(2)7(3-4-9)5-8(10)12-11/h4,7,11H,1,3,5H2,2H3"
C810OOH,"InChI=1S/C8H14O4/c1-8(2,12-11)7(3-5-9)4-6-10/h5-7,11H,3-4H2,1-2H3"
C822OOH,"InChI=1S/C8H14O3/c1-7(2)8(3-5-9)4-6-11-10/h5,8,10H,1,3-4,6H2,2H3"
C830OOH,"InChI=1S/C8H14O3/c1-8(2)5-7(11-10)6(8)3-4-9/h4,6-7,10H,3,5H2,1-2H3"
C831OOH,"InChI=1S/C8H14O4/c1-8(2,4-6-10)7(12-11)3-5-9/h5-7,11H,3-4H2,1-2H3"
C89OOH,"InChI=1S/C8H14O3/c1-8(2)6(3-4-9)5-7(8)11-10/h4,6-7,10H,3,5H2,1-2H3"
C822CO3H,"InChI=1S/C9H14O4/c1-7(2)8(5-6-10)3-4-9(11)13-12/h6,8,12H,1,3-5H2,2H3"
C830CO3H,"InChI=1S/C9H14O4/c1-9(2)5-6(8(11)13-12)7(9)3-4-10/h4,6-7,12H,3,5H2,1-2H3"
C89CO3H,"InChI=1S/C9H14O4/c1-9(2)6(3-4-10)5-7(9)8(11)13-12/h4,6-7,12H,3,5H2,1-2H3"
C126OOH,"InChI=1S/C12H20O3/c1-9(5-7-15-14)10-8-12(2,3)11(10)4-6-13/h6,10-11,14H,1,4-5,7-8H2,2-3H3"
C126CO3H,"InChI=1S/C13H20O4/c1-9(4-5-12(15)17-16)10-8-13(2,3)11(10)6-7-14/h7,10-11,16H,1,4-6,8H2,2-3H3"
C136OOH,"InChI=1S/C13H22O3/c1-10(5-4-7-14)11-9-13(2,3)12(11)6-8-16-15/h7,11-12,15H,1,4-6,8-9H2,2-3H3"
C136CO3H,"InChI=1S/C14H22O4/c1-10(5-4-8-15)11-9-14(2,3)12(11)6-7-13(16)18-17/h8,11-12,17H,1,4-7,9H2,2-3H3"
HCOCOHCO3H,"InChI=1S/C3H4O5/c4-1-2(5)3(6)8-7/h1-2,5,7H"
HOCHOCOOH,"InChI=1S/C3H6O4/c4-1-3(2-5)7-6/h1,3,5-6H,2H2"
OCCOHCOOH,"InChI=1S/C3H6O4/c4-1-3(5)2-7-6/h1,3,5-6H,2H2"
C4OCCOHOOH,"InChI=1S/C4H8O4/c1-3(8-7)4(6)2-5/h2-4,6-7H,1H3"
COCCOHCOOH,"InChI=1S/C4H8O4/c1-3(6)4(2-5)8-7/h2-4,6-7H,1H3"
COHM2CO3H,"InChI=1S/C4H6O5/c1-4(7,2-5)3(6)9-8/h2,7-8H,1H3"
HMACROOH,"InChI=1S/C4H8O5/c5-1-4(2-6,3-7)9-8/h1,6-8H,2-3H2"
MACROHOOH,"InChI=1S/C4H8O4/c1-4(6,2-5)3-8-7/h2,6-7H,3H2,1H3"
MALDIALOOH,"InChI=1S/C4H6O5/c5-1-3(7)4(2-6)9-8/h1-4,7-8H"
ALC4DOLOOH,"InChI=1S/C5H10O5/c6-2-4(8)1-5(3-7)10-9/h3-6,8-9H,1-2H2"
C4MALOHOOH,"InChI=1S/C5H8O5/c1-5(3-7,10-9)4(8)2-6/h2-4,8-9H,1H3"
C57OOH,"InChI=1S/C5H10O5/c1-5(3-7,10-9)4(8)2-6/h3-4,6,8-9H,2H2,1H3"
C58OOH,"InChI=1S/C5H10O5/c1-5(3-7,10-9)4(8)2-6/h2,4,7-9H,3H2,1H3"
CHOC4OHOOH,"InChI=1S/C5H10O4/c6-3-1-2-5(7)4-9-8/h3,5,7-8H,1-2,4H2"
HIEB1OOH,"InChI=1S/C5H10O6/c6-1-4(9)5(2-7,3-8)11-10/h2,4,6,8-10H,1,3H2"
HIEB2OOH,"InChI=1S/C5H10O6/c6-1-4(11-10)5(9,2-7)3-8/h1,4,7-10H,2-3H2"
HOC4CHOOOH,"InChI=1S/C5H10O4/c6-3-1-2-5(4-7)9-8/h4-6,8H,1-3H2"
IEB2OOH,
C1H4C5CO3H,"InChI=1S/C6H10O5/c7-3-1-2-5(8)4-6(9)11-10/h3,5,8,10H,1-2,4H2"
C623OOH,"InChI=1S/C6H12O5/c1-6(4-9,11-10)5(2-7)3-8/h2,5,8-10H,3-4H2,1H3"
C67OOH,"InChI=1S/C6H12O4/c1-6(2,8)5(10-9)3-4-7/h4-5,8-9H,3H2,1-2H3"
C68OOH,"InChI=1S/C6H12O4/c1-5(8)6(2,10-9)3-4-7/h4-5,8-9H,3H2,1-2H3"
CO1H63OOH,"InChI=1S/C6H12O4/c7-4-1-2-6(10-9)3-5-8/h5-7,9H,1-4H2"
C728OOH,"InChI=1S/C7H14O5/c1-7(5-10,12-11)6(4-9)2-3-8/h3,6,9-11H,2,4-5H2,1H3"
C730OOH,"InChI=1S/C7H14O5/c1-7(5-10,12-11)6(4-9)2-3-8/h4,6,8,10-11H,2-3,5H2,1H3"
C824OOH,"InChI=1S/C8H14O4/c1-6(2)7(3-4-9)8(5-10)12-11/h5,7-9,11H,1,3-4H2,2H3"
C826OOH,"InChI=1S/C8H14O5/c1-8(6-11,13-12)7(2-4-9)3-5-10/h4-5,7,11-12H,2-3,6H2,1H3"
C127OOH,"InChI=1S/C12H20O4/c1-9(4-6-13)12(16-15)8-11(2,3)10(12)5-7-14/h7,10,13,15H,1,4-6,8H2,2-3H3"
C1311OOH,"InChI=1S/C13H22O4/c1-10(5-4-7-14)13(17-16)9-12(2,3)11(13)6-8-15/h7,11,15-16H,1,4-6,8-9H2,2-3H3"
C1313OOH,"InChI=1S/C13H22O5/c1-12(2)8-11(10(12)4-7-15)13(9-16,18-17)5-3-6-14/h6-7,10-11,16-17H,3-5,8-9H2,1-2H3"
BIACETOOH,"InChI=1S/C4H6O4/c1-3(5)4(6)2-8-7/h7H,2H2,1H3"
MEKBOOH,"InChI=1S/C4H8O3/c1-3(5)4(2)7-6/h4,6H,1-2H3"
MVKOOH,"InChI=1S/C4H6O3/c1-2-4(5)3-7-6/h2,6H,1,3H2"
C5CO14OOH,"InChI=1S/C5H6O4/c1-4(6)2-3-5(7)9-8/h2-3,8H,1H3"
C5CO234OOH,"InChI=1S/C5H6O5/c1-3(6)5(8)4(7)2-10-9/h9H,2H2,1H3"
C5CO23OOH,"InChI=1S/C5H8O4/c1-2-4(6)5(7)3-9-8/h8H,2-3H2,1H3"
CO23C4CO3H,"InChI=1S/C5H6O5/c1-3(6)4(7)2-5(8)10-9/h9H,2H2,1H3"
CO24C53OOH,"InChI=1S/C5H8O4/c1-3(6)5(9-8)4(2)7/h5,8H,1-2H3"
CO3C4CO3H,"InChI=1S/C5H8O4/c1-2-4(6)3-5(7)9-8/h8H,2-3H2,1H3"
DIEKBOOH,"InChI=1S/C5H10O3/c1-2-5(6)3-4-8-7/h7H,2-4H2,1H3"
MIPKBOOH,"InChI=1S/C5H10O3/c1-4(3-8-7)5(2)6/h4,7H,3H2,1-2H3"
MPRKAOOH,"InChI=1S/C5H10O3/c1-3-5(8-7)4(2)6/h5,7H,3H2,1-2H3"
PE2ONE1OOH,"InChI=1S/C5H10O3/c1-2-3-5(6)4-8-7/h7H,2-4H2,1H3"
C23C54CO3H,"InChI=1S/C6H8O5/c1-3(6(9)11-10)5(8)4(2)7/h3,10H,1-2H3"
C3COCCO3H,"InChI=1S/C6H10O4/c1-2-3-5(7)4-6(8)10-9/h9H,2-4H2,1H3"
C51CO3H,"InChI=1S/C6H10O4/c1-4(5(2)7)3-6(8)10-9/h4,9H,3H2,1-2H3"
C5DBCOCO3H,"InChI=1S/C6H8O4/c1-4(5(2)7)3-6(8)10-9/h3,9H,1-2H3"
C611OOH,"InChI=1S/C6H10O4/c1-4(7)6(3,10-9)5(2)8/h9H,1-3H3"
C627OOH,"InChI=1S/C6H10O4/c1-5(7)2-3-6(8)4-10-9/h9H,2-4H2,1H3"
C62OOH,"InChI=1S/C6H8O5/c1-3(7)5(9)6(11-10)4(2)8/h6,10H,1-2H3"
C6CO134OOH,"InChI=1S/C6H8O5/c1-2-4(7)5(8)3-6(9)11-10/h10H,2-3H2,1H3"
C6CO34OOH,"InChI=1S/C6H10O4/c1-3-5(7)6(8)4(2)10-9/h4,9H,3H2,1-2H3"
C6CYTONOOH,"InChI=1S/C6H6O5/c7-3-1-4(8)6(11-10)5(9)2-3/h6,10H,1-2H2"
C6DCRBBOOH,"InChI=1S/C6H8O4/c1-2-5(7)3-4-6(8)10-9/h3-4,9H,2H2,1H3"
CO234C6OOH,"InChI=1S/C6H8O5/c1-3(7)5(8)6(9)4(2)11-10/h4,10H,1-2H3"
CO235C6OOH,"InChI=1S/C6H8O5/c1-4(7)6(9)2-5(8)3-11-10/h10H,2-3H2,1H3"
CO23C65OOH,"InChI=1S/C6H10O4/c1-4(10-9)3-6(8)5(2)7/h4,9H,3H2,1-2H3"
CO24C63OOH,"InChI=1S/C6H10O4/c1-3-5(8)6(10-9)4(2)7/h6,9H,3H2,1-2H3"
CO24C6OOH,"InChI=1S/C6H10O4/c1-4(7)3-6(8)5(2)10-9/h5,9H,3H2,1-2H3"
CO25C6OOH,"InChI=1S/C6H10O4/c1-4(7)3-6(10-9)5(2)8/h6,9H,3H2,1-2H3"
CO2C54CO3H,"InChI=1S/C6H10O4/c1-4(3-5(2)7)6(8)10-9/h4,9H,3H2,1-2H3"
CO2M33CO3H,"InChI=1S/C6H10O4/c1-4(7)6(2,3)5(8)10-9/h9H,1-3H3"
CO3C54CO3H,"InChI=1S/C6H10O4/c1-3-5(7)4(2)6(8)10-9/h4,9H,3H2,1-2H3"
CO3C5CO3H,"InChI=1S/C6H10O4/c1-2-5(7)3-4-6(8)10-9/h9H,2-4H2,1H3"
CY6COCOOOH,"InChI=1S/C6H8O4/c7-4-1-5(8)3-6(2-4)10-9/h6,9H,1-3H2"
CY6DIONOOH,"InChI=1S/C6H8O4/c7-5-2-1-4(10-9)3-6(5)8/h4,9H,1-3H2"
CYHXONAOOH,"InChI=1S/C6H10O3/c7-5-2-1-3-6(4-5)9-8/h6,8H,1-4H2"
ECO3CO3H,"InChI=1S/C6H6O6/c1-2-3(7)4(8)5(9)6(10)12-11/h11H,2H2,1H3"
EIPKAOOH,"InChI=1S/C6H12O3/c1-4-5(7)6(2,3)9-8/h8H,4H2,1-3H3"
EIPKBOOH,"InChI=1S/C6H12O3/c1-3-6(7)5(2)4-9-8/h5,8H,3-4H2,1-2H3"
HEX2ONCOOH,"InChI=1S/C6H12O3/c1-3-4-6(9-8)5(2)7/h6,8H,3-4H2,1-2H3"
HEX3ONAOOH,"InChI=1S/C6H12O3/c1-3-6(7)4-5(2)9-8/h5,8H,3-4H2,1-2H3"
HEX3ONBOOH,"InChI=1S/C6H12O3/c1-3-5(7)6(4-2)9-8/h6,8H,3-4H2,1-2H3"
HEX3ONCOOH,"InChI=1S/C6H12O3/c1-3-4-6(7)5(2)9-8/h5,8H,3-4H2,1-2H3"
HEX3ONDOOH,"InChI=1S/C6H12O3/c1-2-3-6(7)4-5-9-8/h8H,2-5H2,1H3"
M2BKAOOH,"InChI=1S/C6H12O3/c1-4(5(2)7)6(3)9-8/h4,6,8H,1-3H3"
M2BKBOOH,"InChI=1S/C6H12O3/c1-4-6(3,9-8)5(2)7/h8H,4H2,1-3H3"
MIBK3COOOH,"InChI=1S/C6H10O4/c1-4(7)5(8)6(2,3)10-9/h9H,1-3H3"
MIBKBOOH,"InChI=1S/C6H12O3/c1-4(2)6(9-8)5(3)7/h4,6,8H,1-3H3"
MTBKOOH,"InChI=1S/C6H12O3/c1-5(7)6(2,3)4-9-8/h8H,4H2,1-3H3"
C235C6CO3H,"InChI=1S/C7H8O6/c1-4(8)6(10)2-5(9)3-7(11)13-12/h12H,2-3H2,1H3"
C710OOH,"InChI=1S/C7H14O3/c1-4-7(3,10-9)5-6(2)8/h9H,4-5H2,1-3H3"
C713OOH,"InChI=1S/C7H12O4/c1-5(8)4-7(3,11-10)6(2)9/h10H,4H2,1-3H3"
C714OOH,"InChI=1S/C7H12O4/c1-4(5(2)8)7(11-10)6(3)9/h4,7,10H,1-3H3"
C715OOH,"InChI=1S/C7H10O5/c1-4(8)6(10)7(3,12-11)5(2)9/h11H,1-3H3"
C7236CO,"InChI=1S/C7H8O3/c1-5(8)3-4-7(10)6(2)9/h3-4H,1-2H3"
C726CO5OOH,"InChI=1S/C7H10O4/c1-5(8)3-4-7(11-10)6(2)9/h3-4,7,10H,1-2H3"
C727OOH,"InChI=1S/C7H12O4/c1-5(8)3-4-7(11-10)6(2)9/h7,10H,3-4H2,1-2H3"
C73OOH,"InChI=1S/C7H10O5/c1-4(8)6(9)3-7(10)5(2)12-11/h5,11H,3H2,1-2H3"
C74OOH,"InChI=1S/C7H10O5/c1-4(8)3-6(9)7(10)5(2)12-11/h5,11H,3H2,1-2H3"
C75OOH,"InChI=1S/C7H14O3/c1-5(2)7(10-9)4-6(3)8/h5,7,9H,4H2,1-3H3"
C7ADCCO3H,"InChI=1S/C7H10O4/c1-4(6(3)8)5(2)7(9)11-10/h10H,1-3H3"
C7DCCO3H,"InChI=1S/C7H10O4/c1-2-3-6(8)4-5-7(9)11-10/h4-5,10H,2-3H2,1H3"
C7DDCCO3H,"InChI=1S/C7H10O4/c1-3-6(8)4-5(2)7(9)11-10/h4,10H,3H2,1-2H3"
C821OOH,"InChI=1S/C7H10O5/c1-4(8)3-6(12-11)7(10)5(2)9/h6,11H,3H2,1-2H3"
CO235C7,"InChI=1S/C7H10O3/c1-3-6(9)4-7(10)5(2)8/h3-4H2,1-2H3"
CO25C6CO3H,"InChI=1S/C7H10O5/c1-5(8)2-3-6(9)4-7(10)12-11/h11H,2-4H2,1H3"
CO25C73OOH,"InChI=1S/C7H12O4/c1-3-6(9)4-7(11-10)5(2)8/h7,10H,3-4H2,1-2H3"
CO25C74OOH,"InChI=1S/C7H12O4/c1-3-6(9)7(11-10)4-5(2)8/h7,10H,3-4H2,1-2H3"
CO3C75OOH,"InChI=1S/C7H14O3/c1-3-6(8)5-7(4-2)10-9/h7,9H,3-5H2,1-2H3"
IC7DCCO3H,"InChI=1S/C7H10O4/c1-5(2)6(8)3-4-7(9)11-10/h3-5,10H,1-2H3"
C5DBECO3H,"InChI=1S/C8H10O5/c1-3-6(4-7(10)13-12)8(11)5(2)9/h4,12H,3H2,1-2H3"
C5EDBCO3H,"InChI=1S/C8H10O5/c1-3-6(8(11)13-12)4-7(10)5(2)9/h4,12H,3H2,1-2H3"
C727CO3H,"InChI=1S/C8H12O5/c1-5(9)3-4-7(6(2)10)8(11)13-12/h7,12H,3-4H2,1-2H3"
C7CO2M5OOH,"InChI=1S/C8H12O4/c1-6(9)4-5-8(3,12-11)7(2)10/h4-5,11H,1-3H3"
C7M2CO5OOH,"InChI=1S/C8H12O4/c1-5(4-6(2)9)8(12-11)7(3)10/h4,8,11H,1-3H3"
C7M3CO,"InChI=1S/C8H10O3/c1-5(4-6(2)9)8(11)7(3)10/h4H,1-3H3"
C7ODLBCO3H,"InChI=1S/C8H12O4/c1-3-6(8(10)12-11)5-7(9)4-2/h5,11H,3-4H2,1-2H3"
C816CO,"InChI=1S/C8H12O2/c1-6(2)8(10)5-4-7(3)9/h1,4-5H2,2-3H3"
C817OOH,"InChI=1S/C8H14O4/c1-6(9)3-4-8(5-12-11)7(2)10/h8,11H,3-5H2,1-2H3"
C8236CO,"InChI=1S/C8H10O3/c1-3-7(10)4-5-8(11)6(2)9/h4-5H,3H2,1-2H3"
C826CO3OOH,"InChI=1S/C8H12O4/c1-3-7(10)4-5-8(12-11)6(2)9/h4-5,8,11H,3H2,1-2H3"
C827OOH,"InChI=1S/C8H14O4/c1-6(9)4-5-7(10)8(2,3)12-11/h11H,4-5H2,1-3H3"
C828OOH,"InChI=1S/C8H12O5/c1-5(9)4-6(10)7(11)8(2,3)13-12/h12H,4H2,1-3H3"
C83OOH,"InChI=1S/C8H12O5/c1-3-5(9)7(11)8(13-12)6(10)4-2/h8,12H,3-4H2,1-2H3"
C84OOH,"InChI=1S/C8H14O4/c1-3-6(9)5-8(12-11)7(10)4-2/h8,11H,3-5H2,1-2H3"
C85OOH,"InChI=1S/C8H14O3/c1-5(9)6-4-7(11-10)8(6,2)3/h6-7,10H,4H2,1-3H3"
C88CO,"InChI=1S/C8H10O3/c1-8(2)6(10)4-3-5(9)7(8)11/h3-4H2,1-2H3"
C88OOH,"InChI=1S/C8H12O4/c1-8(2)6(10)4-3-5(9)7(8)12-11/h7,11H,3-4H2,1-2H3"
