Compounds,InChI
IPBZOLOOH,"InChI=1S/C9H14O6/c1-5(2)8-3-4-9(11,14-12)7(6(8)10)13-15-8/h3-7,10-12H,1-2H3"
METLBPR2OH,"InChI=1S/C9H14O4/c1-3-9-6(10)4-5-8(2,7(9)11)12-13-9/h4-7,10-11H,3H2,1-2H3"
METLBPROOH,"InChI=1S/C9H14O5/c1-3-9-6(12-11)4-5-8(2,7(9)10)13-14-9/h4-7,10-11H,3H2,1-2H3"
METOLOH,"InChI=1S/C9H14O5/c1-3-8-4-5-9(11,12)7(2,6(8)10)13-14-8/h4-6,10-12H,3H2,1-2H3"
METOLOOH,"InChI=1S/C9H14O6/c1-3-8-4-5-9(11,13-12)7(2,6(8)10)14-15-8/h4-6,10-12H,3H2,1-2H3"
OETLBPR2OH,"InChI=1S/C9H14O4/c1-3-9(11)5-4-6-7(10)8(9,2)13-12-6/h4-7,10-11H,3H2,1-2H3"
OETLBPROOH,"InChI=1S/C9H14O5/c1-3-9(13-11)5-4-6-7(10)8(9,2)14-12-6/h4-7,10-11H,3H2,1-2H3"
OETOLOH,"InChI=1S/C9H14O5/c1-3-8-5(2)4-9(11,12)7(6(8)10)13-14-8/h4,6-7,10-12H,3H2,1-2H3"
OETOLOOH,"InChI=1S/C9H14O6/c1-3-8-5(2)4-9(11,14-12)7(6(8)10)13-15-8/h4,6-7,10-12H,3H2,1-2H3"
PBENZOLOH,"InChI=1S/C9H14O5/c1-2-3-8-4-5-9(11,12)7(6(8)10)13-14-8/h4-7,10-12H,2-3H2,1H3"
PBENZOLOOH,"InChI=1S/C9H14O6/c1-2-3-8-4-5-9(11,14-12)7(6(8)10)13-15-8/h4-7,10-12H,2-3H2,1H3"
PBZBPER2OH,"InChI=1S/C9H14O4/c1-2-4-9-5-3-6(10)7(8(9)11)12-13-9/h3,5-8,10-11H,2,4H2,1H3"
PBZBPEROOH,"InChI=1S/C9H14O5/c1-2-4-9-5-3-6(12-11)7(8(9)10)13-14-9/h3,5-8,10-11H,2,4H2,1H3"
PETLBPR2OH,"InChI=1S/C9H14O4/c1-3-9-5-4-8(2,11)7(6(9)10)12-13-9/h4-7,10-11H,3H2,1-2H3"
PETLBPROOH,"InChI=1S/C9H14O5/c1-3-9-5-4-8(2,13-11)7(6(9)10)12-14-9/h4-7,10-11H,3H2,1-2H3"
PETOLOH,"InChI=1S/C9H14O5/c1-3-8-7(10)6(13-14-8)5(2)4-9(8,11)12/h4,6-7,10-12H,3H2,1-2H3"
PETOLOOH,"InChI=1S/C9H14O6/c1-3-8-7(10)6(13-15-8)5(2)4-9(8,11)14-12/h4,6-7,10-12H,3H2,1-2H3"
TM123BP2OH,"InChI=1S/C9H14O4/c1-7-5-4-6(10)8(2,13-12-7)9(7,3)11/h4-6,10-11H,1-3H3"
TM123BPOOH,"InChI=1S/C9H14O5/c1-7-5-4-6(12-11)8(2,14-13-7)9(7,3)10/h4-6,10-11H,1-3H3"
TM123OLOH,"InChI=1S/C9H14O5/c1-4-5(2)9(11,12)7-6(10)8(4,3)14-13-7/h6-7,10-12H,1-3H3"
TM123OLOOH,"InChI=1S/C9H14O6/c1-4-5(2)9(11,14-12)7-6(10)8(4,3)15-13-7/h6-7,10-12H,1-3H3"
TM124BP2OH,"InChI=1S/C9H14O4/c1-7-4-5-8(2,11)9(3,6(7)10)13-12-7/h4-6,10-11H,1-3H3"
TM124BPOOH,"InChI=1S/C9H14O5/c1-7-4-5-8(2,12-11)9(3,6(7)10)14-13-7/h4-6,10-11H,1-3H3"
TM124OLOH,"InChI=1S/C9H14O5/c1-4-5(2)9(11,12)8(3)7(10)6(4)13-14-8/h6-7,10-12H,1-3H3"
TM124OLOOH,"InChI=1S/C9H14O6/c1-4-5(2)9(11,14-12)8(3)7(10)6(4)13-15-8/h6-7,10-12H,1-3H3"
TM135BP2OH,"InChI=1S/C9H14O4/c1-5-4-8(2)7(11)9(3,6(5)10)13-12-8/h4,6-7,10-11H,1-3H3"
TM135BPOOH,"InChI=1S/C9H14O5/c1-5-4-8(2)7(10)9(3,14-13-8)6(5)12-11/h4,6-7,10-11H,1-3H3"
TM135OLOH,"InChI=1S/C9H14O5/c1-5-4-7(2)6(10)8(3,14-13-7)9(5,11)12/h4,6,10-12H,1-3H3"
TM135OLOOH,"InChI=1S/C9H14O6/c1-5-4-7(2)6(10)8(3,15-14-7)9(5,11)13-12/h4,6,10-12H,1-3H3"
APINAOOH,"InChI=1S/C10H18O3/c1-9(2)6-4-7(9)10(3,13-12)8(11)5-6/h6-8,11-12H,4-5H2,1-3H3"
APINBOOH,"InChI=1S/C10H18O3/c1-9(2)6-4-7(9)10(3,11)8(5-6)13-12/h6-8,11-12H,4-5H2,1-3H3"
APINCOOH,"InChI=1S/C10H18O3/c1-7-4-5-8(6-9(7)11)10(2,3)13-12/h4,8-9,11-12H,5-6H2,1-3H3"
BPINAOOH,"InChI=1S/C10H18O3/c1-9(2)7-3-4-10(6-11,13-12)8(9)5-7/h7-8,11-12H,3-6H2,1-2H3"
BPINBOOH,"InChI=1S/C10H18O3/c1-9(2)7-3-4-10(11,6-13-12)8(9)5-7/h7-8,11-12H,3-6H2,1-2H3"
BPINCOOH,"InChI=1S/C10H18O3/c1-10(2,13-12)9-5-3-8(7-11)4-6-9/h3,9,11-12H,4-7H2,1-2H3"
C918CO3H,"InChI=1S/C10H16O4/c1-9(2)6-3-4-10(12,7(9)5-6)8(11)14-13/h6-7,12-13H,3-5H2,1-2H3"
DMEBPR2OH,"InChI=1S/C10H16O4/c1-4-10-5-6(2)7(11)9(3,8(10)12)13-14-10/h5,7-8,11-12H,4H2,1-3H3"
DMEBPROOH,"InChI=1S/C10H16O5/c1-4-10-5-6(2)7(13-12)9(3,8(10)11)14-15-10/h5,7-8,11-12H,4H2,1-3H3"
DMEPHOLOH,"InChI=1S/C10H16O5/c1-4-9-7(11)8(3,14-15-9)5-6(2)10(9,12)13/h5,7,11-13H,4H2,1-3H3"
DMEPHOLOOH,"InChI=1S/C10H16O6/c1-4-9-7(11)8(3,15-16-9)5-6(2)10(9,12)14-13/h5,7,11-13H,4H2,1-3H3"
HO3C106OOH,"InChI=1S/C10H22O3/c1-3-5-6-10(13-12)8-7-9(11)4-2/h9-12H,3-8H2,1-2H3"
HO8C9CO3H,"InChI=1S/C10H20O4/c1-2-3-4-5-6-7-9(11)8-10(12)14-13/h9,11,13H,2-8H2,1H3"
LIMAOOH,"InChI=1S/C10H18O3/c1-7(2)8-4-5-10(3,13-12)9(11)6-8/h8-9,11-12H,1,4-6H2,2-3H3"
LIMBOOH,"InChI=1S/C10H18O3/c1-7(2)8-4-5-10(3,11)9(6-8)13-12/h8-9,11-12H,1,4-6H2,2-3H3"
LIMCOOH,"InChI=1S/C10H18O3/c1-8-3-5-9(6-4-8)10(2,7-11)13-12/h3,9,11-12H,4-7H2,1-2H3"
