Compound,SMILES,InChI,logS,Temperature,logS-dataSource,HenryConstant,HenryConstant-dataSource,nIsomers
MCM:TM123BOOH,O,InChI=1S/H2O/h1H2,,25.0,,126.66666666666669,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:TM123OOH,O,InChI=1S/H2O/h1H2,,25.0,,93.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:TM124BCO3H,O,InChI=1S/H2O/h1H2,,25.0,,486.82666666666665,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:TM124BOOH,O,InChI=1S/H2O/h1H2,,25.0,,94.66666666666669,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:TM124OOH,O,InChI=1S/H2O/h1H2,,25.0,,72.66666666666667,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:TMBCO3H,O,InChI=1S/H2O/h1H2,,25.0,,479.75666666666666,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:TMBOOH,O,InChI=1S/H2O/h1H2,,25.0,,96.33333333333331,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:DM35EBOOH,O,InChI=1S/H2O/h1H2,,25.0,,58.66666666666666,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:EMPHCO3H,O,InChI=1S/H2O/h1H2,,25.0,,341.08,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:DE35TOOH,O,InChI=1S/H2O/h1H2,,25.0,,44.66666666666666,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HOCH2CO3H,O,InChI=1S/H2O/h1H2,,25.0,,5680.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HYETHO2H,O,InChI=1S/H2O/h1H2,,25.0,,13633.333333333334,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:C2OHOCOOH,O,InChI=1S/H2O/h1H2,,25.0,,6074433.333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:C3DIOLOOH,O,InChI=1S/H2O/h1H2,,25.0,,9816666.666666666,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HO1C3OOH,O,InChI=1S/H2O/h1H2,,25.0,,19366.666666666668,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HOC2H4CO3H,O,InChI=1S/H2O/h1H2,,25.0,,116383.33333333331,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HYPROPO2H,O,InChI=1S/H2O/h1H2,,25.0,,11166.666666666666,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:IPROPOLO2H,O,InChI=1S/H2O/h1H2,,25.0,,10766.666666666666,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:IPROPOLPER,O,InChI=1S/H2O/h1H2,,25.0,,4733.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:BUT2OLOOH,O,InChI=1S/H2O/h1H2,,25.0,,9500.0,https://doi.org/10.5194/acp-23-10901-2023,1
